date,tmax,tmin
2023-01-01,15,11
2023-01-02,14,5
2023-01-03,9,3
2023-01-04,13,8
2023-01-05,12,10
2023-01-06,12,10
2023-01-07,11,9
2023-01-08,10,6
2023-01-09,8,5
2023-01-10,12,4
2023-01-11,12,7
2023-01-12,11,8
2023-01-13,10,7
2023-01-14,12,6
2023-01-15,8,5
2023-01-16,6,2
2023-01-17,4,-2
2023-01-18,4,-2
2023-01-19,3,0
2023-01-20,5,-1
2023-01-21,0,-3
2023-01-22,0,-2
2023-01-23,3,0
2023-01-24,2,0
2023-01-25,0,-2
2023-01-26,6,-2
2023-01-27,5,3
2023-01-28,3,-2
2023-01-29,4,-3
2023-01-30,8,2
2023-01-31,8,2
2023-02-01,10,5
2023-02-02,11,7
2023-02-03,11,8
2023-02-04,10,7
2023-02-05,9,2
2023-02-06,7,-1
2023-02-07,6,-4
2023-02-08,7,-4
2023-02-09,6,-2
2023-02-10,7,0
2023-02-11,8,5
2023-02-12,8,4
2023-02-13,12,-1
2023-02-14,14,-1
2023-02-15,13,0
2023-02-16,12,4
2023-02-17,13,10
2023-02-18,11,10
2023-02-19,10,5
2023-02-20,12,6
2023-02-21,12,5
2023-02-22,10,5
2023-02-23,9,2
2023-02-24,8,2
2023-02-25,8,0
2023-02-26,8,0
2023-02-27,7,0
2023-02-28,8,1
2023-03-01,11,7
2023-03-02,14,8
2023-03-03,11,7
2023-03-04,9,0
2023-03-05,9,0
2023-03-06,11,3
2023-03-07,11,5
2023-03-08,11,5
2023-03-09,10,5
2023-03-10,12,5
2023-03-11,10,4
2023-03-12,9,5
2023-03-13,10,3
2023-03-14,8,2
2023-03-15,7,1
2023-03-16,8,2
2023-03-17,8,1
2023-03-18,8,1
2023-03-19,11,5
2023-03-20,11,6
2023-03-21,13,5
2023-03-22,11,5
2023-03-23,10,4
2023-03-24,10,2
2023-03-25,10,6
2023-03-26,13,6
2023-03-27,13,4
2023-03-28,13,3
2023-03-29,11,2
2023-03-30,10,5
2023-03-31,13,6
2023-04-01,14,6
2023-04-02,14,7
2023-04-03,14,6
2023-04-04,13,6
2023-04-05,12,5
2023-04-06,12,5
2023-04-07,14,4
2023-04-08,12,4
2023-04-09,11,4
2023-04-10,13,3
2023-04-11,12,3
2023-04-12,15,6
2023-04-13,16,3
2023-04-14,12,2
2023-04-15,12,2
2023-04-16,14,4
2023-04-17,13,3
2023-04-18,12,5
2023-04-19,12,4
2023-04-20,13,3
2023-04-21,13,6
2023-04-22,14,5
2023-04-23,14,5
2023-04-24,13,7
2023-04-25,14,8
2023-04-26,14,7
2023-04-27,14,9
2023-04-28,18,9
2023-04-29,18,9
2023-04-30,18,9
2023-05-01,15,9
2023-05-02,17,8
2023-05-03,16,7
2023-05-04,15,5
2023-05-05,15,6
2023-05-06,16,9
2023-05-07,17,10
2023-05-08,19,10
2023-05-09,20,11
2023-05-10,21,11
2023-05-11,21,10
2023-05-12,20,8
2023-05-13,16,7
2023-05-14,16,10
2023-05-15,19,11
2023-05-16,20,9
2023-05-17,18,7
2023-05-18,17,7
2023-05-19,18,7
2023-05-20,18,8
